team,player
Arsenal,Matt Turner
Arsenal,Aaron Ramsdale
Arsenal,Cédric Soares
Arsenal,Kieran Tierney
Arsenal,Oleksandr Zinchenko
Arsenal,Rob Holding
Arsenal,Takehiro Tomiyasu
Arsenal,Ben White
Arsenal,Gabriel
Arsenal,William Saliba
Arsenal,Granit Xhaka
Arsenal,Mohamed Elneny
Arsenal,Thomas Partey
Arsenal,Martin Ødegaard
Arsenal,Albert Sambi Lokonga
Arsenal,Fabio Vieira
Arsenal,Gabriel Jesus
Arsenal,Reiss Nelson
Arsenal,Edward Nketiah
Arsenal,Emile Smith Rowe
Arsenal,Bukayo Saka
Arsenal,Gabriel Martinelli
Arsenal,Ethan Nwaneri
Arsenal,Marquinhos
Fulham,Bernd Leno
Fulham,Marek Rodak
Fulham,Shane Duffy
Fulham,Tim Ream
Fulham,Layvin Kurzawa
Fulham,Kevin Mbabu
Fulham,Kenny Tete
Fulham,Antonee Robinson
Fulham,Tosin Adarabioyo
Fulham,Issa Diop
Fulham,Tom Cairney
Fulham,Nathaniel Chalobah
Fulham,Harrison Reed
Fulham,Joshua Onomah
Fulham,Joao Palhinha
Fulham,Andreas Pereira
Fulham,Luke Harris
Fulham,Willian
Fulham,Neeskens Kebano
Fulham,Bobby Reid
Fulham,Aleksandar Mitrovic
Fulham,Harry Wilson
Fulham,Daniel James
Fulham,Manor Solomon
Fulham,Vinicius
Fulham,Terry Ablade
Manchester City,Scott Carson
Manchester City,Stefan Ortega
Manchester City,Ederson Moraes
Manchester City,Kyle Walker
Manchester City,John Stones
Manchester City,Benjamin Mendy
Manchester City,Joao Cancelo
Manchester City,Aymeric Laporte
Manchester City,Nathan Aké
Manchester City,Manuel Akanji
Manchester City,Ruben Dias
Manchester City,Sergio Gomez
Manchester City,Josh Wilson-Esbrand
Manchester City,Rico Lewis
Manchester City,Kevin De Bruyne
Manchester City,Ilkay Gündogan
Manchester City,Bernardo Silva
Manchester City,Kalvin Phillips
Manchester City,Rodri
Manchester City,Cole Palmer
Manchester City,Riyad Mahrez
Manchester City,Jack Grealish
Manchester City,Erling Braut Haaland
Manchester City,Phil Foden
Manchester City,Julián Álvarez
Leicester City,Alex Smithies
Leicester City,Danny Ward
Leicester City,Daniel Iversen
Leicester City,Jonny Evans
Leicester City,Ryan Bertrand
Leicester City,Jannik Vestergaard
Leicester City,Ricardo Pereira
Leicester City,Daniel Amartey
Leicester City,Timothy Castagne
Leicester City,Caglar Söyüncü
Leicester City,Wout Faes
Leicester City,James Justin
Leicester City,Luke Thomas
Leicester City,Nampalys Mendy
Leicester City,Dennis Praet
Leicester City,Youri Tielemans
Leicester City,Ayoze Pérez
Leicester City,James Maddison
Leicester City,Wilfred Ndidi
Leicester City,Boubakary Soumaré
Leicester City,Kiernan Dewsbury-Hall
Leicester City,Marc Albrighton
Leicester City,Jamie Vardy
Leicester City,Kelechi Iheanacho
Leicester City,Patson Daka
Leicester City,Harvey Barnes
Leeds United,Joel Robles
Leeds United,Kristoffer Klaesson
Leeds United,Illan Meslier
Leeds United,Liam Cooper
Leeds United,Luke Ayling
Leeds United,Stuart Dallas
Leeds United,Diego Llorente
Leeds United,Robin Koch
Leeds United,Maximilian Wöber
Leeds United,Rasmus Kristensen
Leeds United,Junior Firpo
Leeds United,Pascal Struijk
Leeds United,Cody Drameh
Leeds United,Leo Hjelde
Leeds United,Mateusz Klich
Leeds United,Adam Forshaw
Leeds United,Rodrigo
Leeds United,Marc Roca
Leeds United,Tyler Adams
Leeds United,Brenden Aaronson
Leeds United,Sam Greenwood
Leeds United,Darko Gyabi
Leeds United,Patrick Bamford
Leeds United,Jack Harrison
Leeds United,Luis Sinisterra
Leeds United,Crysencio Summerville
Leeds United,Joe Gelhardt
Leeds United,Wilfried Gnonto
Leeds United,Mateo Fernandez
Wolverhampton Wanderers,José Sá
Wolverhampton Wanderers,Matija Sarkic
Wolverhampton Wanderers,Louie Moulden
Wolverhampton Wanderers,Jonny
Wolverhampton Wanderers,Nélson Semedo
Wolverhampton Wanderers,Max Kilman
Wolverhampton Wanderers,Nathan Collins
Wolverhampton Wanderers,Toti Gomes
Wolverhampton Wanderers,Yerson Mosquera
Wolverhampton Wanderers,Joao Moutinho
Wolverhampton Wanderers,Ruben Neves
Wolverhampton Wanderers,Connor Ronan
Wolverhampton Wanderers,Rayan Ait Nouri
Wolverhampton Wanderers,Matheus Nunes
Wolverhampton Wanderers,Boubacar Traore
Wolverhampton Wanderers,Chiquinho
Wolverhampton Wanderers,Diego Costa
Wolverhampton Wanderers,Raul Jiménez
Wolverhampton Wanderers,Adama Traoré
Wolverhampton Wanderers,Daniel Podence
Wolverhampton Wanderers,Goncalo Guedes
Wolverhampton Wanderers,Hee-Chan Hwang
Wolverhampton Wanderers,Pedro Neto
Wolverhampton Wanderers,Sasa Kalajdzic
Wolverhampton Wanderers,Matheus Cunha
AFC Bournemouth,Neto
AFC Bournemouth,Mark Travers
AFC Bournemouth,Will Dennis
AFC Bournemouth,Cameron Plain
AFC Bournemouth,Adam Smith
AFC Bournemouth,Ryan Fredericks
AFC Bournemouth,Jack Stephens
AFC Bournemouth,Jack Stacey
AFC Bournemouth,Marcos Senesi
AFC Bournemouth,Lloyd Kelly
AFC Bournemouth,Chris Mepham
AFC Bournemouth,James Hill
AFC Bournemouth,Jordan Zemura
AFC Bournemouth,Junior Stanislas
AFC Bournemouth,Emiliano Marcondes
AFC Bournemouth,Jefferson Lerma
AFC Bournemouth,Philip Billing
AFC Bournemouth,Lewis Cook
AFC Bournemouth,Ben Pearson
AFC Bournemouth,Joe Rothwell
AFC Bournemouth,David Brooks
AFC Bournemouth,Marcus Tavernier
AFC Bournemouth,Jamal Lowe
AFC Bournemouth,Ryan Christie
AFC Bournemouth,Kieffer Moore
AFC Bournemouth,Dominic Solanke
AFC Bournemouth,Siriki Dembele
AFC Bournemouth,Jaidon Anthony
Southampton,Wilfredo Caballero
Southampton,Alex McCarthy
Southampton,Gavin Bazunu
Southampton,Duje Caleta-Car
Southampton,Lyanco
Southampton,Kyle Walker-Peters
Southampton,Romain Perraud
Southampton,Moussa Djenepo
Southampton,Mohammed Salisu
Southampton,Armel Bella-Kotchap
Southampton,Valentino Livramento
Southampton,Juan Larios
Southampton,Stuart Armstrong
Southampton,Mohamed Elyounoussi
Southampton,James Ward-Prowse
Southampton,Ainsley Maitland-Niles
Southampton,Joe Aribo
Southampton,Ibrahima Diallo
Southampton,Romeo Lavia
Southampton,Theo Walcott
Southampton,Mislav Orsic
Southampton,Adam Armstrong
Southampton,Che Adams
Southampton,Dan N'Lundulu
Southampton,Samuel Edozie
Southampton,Sékou Mara
Chelsea,Kepa Arrizabalaga
Chelsea,Marcus Bettinelli
Chelsea,Edouard Mendy
Chelsea,Gabriel Slonina
Chelsea,César Azpilicueta
Chelsea,Thiago Silva
Chelsea,Kalidou Koulibaly
Chelsea,Ben Chilwell
Chelsea,Trevoh Chalobah
Chelsea,Reece James
Chelsea,Marc Cucurella
Chelsea,Wesley Fofana
Chelsea,Benoit Badiashile
Chelsea,Mateo Kovacic
Chelsea,Jorginho
Chelsea,N'Golo Kanté
Chelsea,Denis Zakaria
Chelsea,Ruben Loftus-Cheek
Chelsea,Mason Mount
Chelsea,Conor Gallagher
Chelsea,Carney Chukwuemeka
Chelsea,Cesare Casadei
Chelsea,Andrey Santos
Chelsea,Pierre-Emerick Aubameyang
Chelsea,Raheem Sterling
Chelsea,Hakim Ziyech
Chelsea,Christian Pulisic
Chelsea,Kai Havertz
Chelsea,Armando Broja
Chelsea,David Datro Fofana
West Ham United,Lukasz Fabianski
West Ham United,Darren Randolph
West Ham United,Alphonse Areola
West Ham United,Angelo Ogbonna
West Ham United,Aaron Cresswell
West Ham United,Craig Dawson
West Ham United,Emerson
West Ham United,Kurt Zouma
West Ham United,Vladimir Coufal
West Ham United,Thilo Kehrer
West Ham United,Naif Aguerd
West Ham United,Ben Johnson
West Ham United,Harrison Ashby
West Ham United,Jamal Baptiste
West Ham United,Luizao
West Ham United,Manuel Lanzini
West Ham United,Tomas Soucek
West Ham United,Declan Rice
West Ham United,Lucas Paquetá
West Ham United,Conor Coventry
West Ham United,Flynn Downes
West Ham United,Michail Antonio
West Ham United,Maxwel Cornet
West Ham United,Said Benrahma
West Ham United,Jarrod Bowen
West Ham United,Pablo Fornals
West Ham United,Gianluca Scamacca
Brentford,Thomas Strakosha
Brentford,David Raya
Brentford,Matthew Cox
Brentford,Mathias Jørgensen
Brentford,Pontus Jansson
Brentford,Ben Mee
Brentford,Kristoffer Ajer
Brentford,Rico Henry
Brentford,Charlie Goode
Brentford,Mads Bech
Brentford,Ethan Pinnock
Brentford,Mads Roerslev
Brentford,Fin Stevens
Brentford,Christian Nørgaard
Brentford,Saman Ghoddos
Brentford,Mathias Jensen
Brentford,Sergi Canos
Brentford,Vitaly Janelt
Brentford,Joshua Dasilva
Brentford,Frank Onyeka
Brentford,Shandon Baptiste
Brentford,Aaron Hickey
Brentford,Keane Lewis-Potter
Brentford,Kevin Schade
Brentford,Ivan Toney
Brentford,Yoane Wissa
Brentford,Mikkel Damsgaard
Brentford,Bryan Mbeumo
Newcastle United,Martin Dubravka
Newcastle United,Karl Darlow
Newcastle United,Mark Gillespie
Newcastle United,Nick Pope
Newcastle United,Daniel Burn
Newcastle United,Fabian Schär
Newcastle United,Kieran Trippier
Newcastle United,Emil Krafth
Newcastle United,Jamaal Lascelles
Newcastle United,Javier Manquillo
Newcastle United,Paul Dummett
Newcastle United,Matt Targett
Newcastle United,Jamal Lewis
Newcastle United,Sven Botman
Newcastle United,Kelland Watts
Newcastle United,Jonjo Shelvey
Newcastle United,Joelinton
Newcastle United,Sean Longstaff
Newcastle United,Bruno Guimaraes
Newcastle United,Joseph Willock
Newcastle United,Matthew Longstaff
Newcastle United,Elliot Anderson
Newcastle United,Garang Kuol
Newcastle United,Matt Ritchie
Newcastle United,Chris Wood
Newcastle United,Callum Wilson
Newcastle United,Ryan Fraser
Newcastle United,Miguel Almiron
Newcastle United,Allan Saint-Maximin
Newcastle United,Jacob Murphy
Newcastle United,Alexander Isak
Brighton & Hove Albion,Jason Steele
Brighton & Hove Albion,Robert Sánchez
Brighton & Hove Albion,Thomas McGill
Brighton & Hove Albion,Lewis Dunk
Brighton & Hove Albion,Adam Webster
Brighton & Hove Albion,Joel Veltman
Brighton & Hove Albion,Solly March
Brighton & Hove Albion,Pervis Estupinán
Brighton & Hove Albion,Tariq Lamptey
Brighton & Hove Albion,Jan Paul van Hecke
Brighton & Hove Albion,Levi Colwill
Brighton & Hove Albion,Andrew Moran
Brighton & Hove Albion,Ed Turns
Brighton & Hove Albion,Adam Lallana
Brighton & Hove Albion,Pascal Gross
Brighton & Hove Albion,Alexis Mac Allister
Brighton & Hove Albion,Jakub Moder
Brighton & Hove Albion,Billy Gilmour
Brighton & Hove Albion,Moisés Caicedo
Brighton & Hove Albion,Jeremy Sarmiento
Brighton & Hove Albion,Facundo Buonanotte
Brighton & Hove Albion,Danny Welbeck
Brighton & Hove Albion,Leandro Trossard
Brighton & Hove Albion,Deniz Undav
Brighton & Hove Albion,Kaoru Mitoma
Brighton & Hove Albion,Evan Ferguson
Brighton & Hove Albion,Julio Enciso
Crystal Palace,Vicente Guaita
Crystal Palace,Sam Johnstone
Crystal Palace,James Tomkins
Crystal Palace,Joel Ward
Crystal Palace,Nathaniel Clyne
Crystal Palace,Joachim Andersen
Crystal Palace,Kofi Balmer
Crystal Palace,Marc Guehi
Crystal Palace,Nathan Ferguson
Crystal Palace,Chris Richards
Crystal Palace,Tyrick Mitchell
Crystal Palace,James McArthur
Crystal Palace,Luka Milivojevic
Crystal Palace,Jeffrey Schlupp
Crystal Palace,Will Hughes
Crystal Palace,Jairo Riedewald
Crystal Palace,Eberechi Eze
Crystal Palace,Cheick Oumar Doucouré
Crystal Palace,Killian Phillips
Crystal Palace,Jordan Ayew
Crystal Palace,Wilfried Zaha
Crystal Palace,Odsonne Edouard
Crystal Palace,Jean-Philippe Mateta
Crystal Palace,Michael Olise
Crystal Palace,Malcolm Ebiowei
Liverpool,Adrian
Liverpool,Alisson Becker
Liverpool,Caoimhin Kelleher
Liverpool,Joel Matip
Liverpool,Virgil van Dijk
Liverpool,Andrew Robertson
Liverpool,Joseph Gomez
Liverpool,Konstantinos Tsimikas
Liverpool,Trent Alexander-Arnold
Liverpool,Ibrahima Konaté
Liverpool,Nathaniel Phillips
Liverpool,Calvin Ramsay
Liverpool,James Milner
Liverpool,Jordan Henderson
Liverpool,Thiago Alcántara
Liverpool,Fabinho
Liverpool,Naby Keita
Liverpool,Arthur
Liverpool,Curtis Jones
Liverpool,Harvey Elliott
Liverpool,Fabio Carvalho
Liverpool,Bobby Clark
Liverpool,Stefan Bajcetic
Liverpool,Alex Oxlade-Chamberlain
Liverpool,Roberto Firmino
Liverpool,Mohamed Salah
Liverpool,Diogo Jota
Liverpool,Cody Gakpo
Liverpool,Luis Diaz
Liverpool,Darwin Nunez
Tottenham Hotspur,Hugo Lloris
Tottenham Hotspur,Fraser Forster
Tottenham Hotspur,Alfie Whiteman
Tottenham Hotspur,Brandon Austin
Tottenham Hotspur,Ben Davies
Tottenham Hotspur,Eric Dier
Tottenham Hotspur,Clément Lenglet
Tottenham Hotspur,Davinson Sánchez
Tottenham Hotspur,Cristian Romero
Tottenham Hotspur,Japhet Tanganga
Tottenham Hotspur,Nile John
Tottenham Hotspur,Charlie Sayers
Tottenham Hotspur,Ivan Perisic
Tottenham Hotspur,Heung-Min Son
Tottenham Hotspur,Matt Doherty
Tottenham Hotspur,Pierre-Emile Højbjerg
Tottenham Hotspur,Rodrigo Bentancur
Tottenham Hotspur,Yves Bissouma
Tottenham Hotspur,Ryan Sessegnon
Tottenham Hotspur,Emerson Royal
Tottenham Hotspur,Oliver Skipp
Tottenham Hotspur,Djed Spence
Tottenham Hotspur,Dejan Kulusevski
Tottenham Hotspur,Pape Sarr
Tottenham Hotspur,Kallum Cesay
Tottenham Hotspur,Romaine Mundle
Tottenham Hotspur,Yago Santiago
Tottenham Hotspur,Alfie Devine
Tottenham Hotspur,Harry Kane
Tottenham Hotspur,Lucas Moura
Tottenham Hotspur,Richarlison
Tottenham Hotspur,Harvey White
Tottenham Hotspur,Bryan Gil
Tottenham Hotspur,Will Lankshear
Nottingham Forest,Wayne Hennessey
Nottingham Forest,Jordan Smith
Nottingham Forest,Dean Henderson
Nottingham Forest,Adnan Kanuric
Nottingham Forest,Steve Cook
Nottingham Forest,Serge Aurier
Nottingham Forest,Willy Boly
Nottingham Forest,Scott McKenna
Nottingham Forest,Harry Toffolo
Nottingham Forest,Moussa Niakhaté
Nottingham Forest,Joe Worrall
Nottingham Forest,Renan Lodi
Nottingham Forest,Omar Richards
Nottingham Forest,Loic Mbe Soh
Nottingham Forest,Giulian Biancone
Nottingham Forest,Neco Williams
Nottingham Forest,Cheikhou Kouyaté
Nottingham Forest,Harry Arter
Nottingham Forest,Jack Colback
Nottingham Forest,Remo Freuler
Nottingham Forest,Cafu
Nottingham Forest,Gustavo Scarpa
Nottingham Forest,Orel Mangala
Nottingham Forest,Ryan Yates
Nottingham Forest,Morgan Gibbs-White
Nottingham Forest,Lewis O'Brien
Nottingham Forest,Brandon Aguilera
Nottingham Forest,Oliver Hammond
Nottingham Forest,Lyle Taylor
Nottingham Forest,Jesse Lingard
Nottingham Forest,Taiwo Awoniyi
Nottingham Forest,Emmanuel Dennis
Nottingham Forest,Sam Surridge
Nottingham Forest,Brennan Johnson
Aston Villa,Robin Olsen
Aston Villa,Jed Steer
Aston Villa,Emiliano Martinez
Aston Villa,Ashley Young
Aston Villa,Lucas Digne
Aston Villa,Ludwig Augustinsson
Aston Villa,Tyrone Mings
Aston Villa,Calum Chambers
Aston Villa,Jan Bednarek
Aston Villa,Diego Carlos
Aston Villa,Ezri Konsa
Aston Villa,Matty Cash
Aston Villa,Josh Feeney
Aston Villa,Philippe Coutinho
Aston Villa,Morgan Sanson
Aston Villa,John McGinn
Aston Villa,Leander Dendoncker
Aston Villa,Marvelous Nakamba
Aston Villa,Emiliano Buendia
Aston Villa,Frédéric Guilbert
Aston Villa,Douglas Luiz
Aston Villa,Boubacar Kamara
Aston Villa,Jacob Ramsey
Aston Villa,Lamare Bogarde
Aston Villa,Danny Ings
Aston Villa,Ollie Watkins
Aston Villa,Leon Bailey
Everton,Andy Lonergan
Everton,Eldin Jakupovic
Everton,Asmir Begovic
Everton,Jordan Pickford
Everton,Seamus Coleman
Everton,James Tarkowski
Everton,Conor Coady
Everton,Michael Keane
Everton,Yerry Mina
Everton,Mason Holgate
Everton,Ben Godfrey
Everton,Vitalii Mykolenko
Everton,Nathan Patterson
Everton,Andros Townsend
Everton,Idrissa Gana Gueye
Everton,Abdoulaye Doucouré
Everton,Alex Iwobi
Everton,Tom Davies
Everton,Ruben Vinagre
Everton,Dwight McNeil
Everton,James Garner
Everton,Amadou Onana
Everton,Neal Maupay
Everton,Demarai Gray
Everton,Dominic Calvert-Lewin
Everton,Anthony Gordon
Everton,Ellis Simms
Manchester United,Tom Heaton
Manchester United,David De Gea
Manchester United,Jack Butland
Manchester United,Nathan Bishop
Manchester United,Phil Jones
Manchester United,Raphaël Varane
Manchester United,Harry Maguire
Manchester United,Victor Nilsson Lindelöf
Manchester United,Luke Shaw
Manchester United,Axel Tuanzebe
Manchester United,Diogo Dalot
Manchester United,Aaron Wan-Bissaka
Manchester United,Lisandro Martinez
Manchester United,Tyrell Malacia
Manchester United,Brandon Williams
Manchester United,Tyler Fredricson
Manchester United,Christian Eriksen
Manchester United,Casemiro
Manchester United,Fred
Manchester United,Bruno Fernandes
Manchester United,Donny van de Beek
Manchester United,Scott McTominay
Manchester United,Facundo Pellistri
Manchester United,Zidane Iqbal
Manchester United,Anthony Martial
Manchester United,Marcus Rashford
Manchester United,Jadon Sancho
Manchester United,Mason Greenwood
Manchester United,Antony
Manchester United,Anthony Elanga
Manchester United,Shola Shoretire
Manchester United,Alejandro Garnacho
